Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,機能 (product.metafields.custom._function),仕様・材質 (product.metafields.custom._material),サイズ (product.metafields.custom._size),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),商品評価数 (product.metafields.reviews.rating_count),サイト内検索 (product.metafields.seo.hidden),色 (product.metafields.shopify.color-pattern),食料品の形態 (product.metafields.shopify.food-product-form),ユーザーの種類 (product.metafields.shopify.user-type),付属商品 (product.metafields.shopify--discovery--product_recommendation.complementary_products),関連商品 (product.metafields.shopify--discovery--product_recommendation.related_products),関連商品の設定 (product.metafields.shopify--discovery--product_recommendation.related_products_display),販売促進する商品を検索する (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Japan,Price / Japan,Compare At Price / Japan,Included / International,Price / International,Compare At Price / International,Status
test-2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2343,テスト菓子箱6号(nwホワイト),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト50,,,,,,,,,0.0,shopify,deny,manual,2090,,true,true,,,1,,false,,,,,,,,,,,,,,,かさ高軽量紙,"外寸：W152×D105×H45mm     ",,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2343,,,,,,,,,テスト100,,,,,,,,,0.0,shopify,deny,manual,3080,,true,true,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2343,,,,,,,,,テスト200,,,,,,,,,0.0,shopify,deny,manual,5500,,true,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2342,テスト【サンプル】菓子箱5号(ライトプルーフ),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト1,,,,,,,,,0.0,,deny,manual,55,,true,true,,,1,,false,,,,,,,,,,,,,,,ブラウンカード,外寸：W126×D96×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2341,テスト菓子箱5号(ライトプルーフ),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト50,,,,,,,,,0.0,shopify,deny,manual,2200,,true,true,,,1,,false,,,,,,,,,,,,,,,ブラウンカード,外寸：W126×D96×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2341,,,,,,,,,テスト100,,,,,,,,,0.0,shopify,deny,manual,3300,,true,true,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2341,,,,,,,,,テスト200,,,,,,,,,0.0,shopify,deny,manual,5940,,true,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2340,テスト【サンプル】菓子箱5号(nwホワイト),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト1,,,,,,,,,0.0,,deny,manual,55,,true,true,,,1,,false,,,,,,,,,,,,,,,かさ高軽量紙,外寸：W126×D96×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2339,テスト菓子箱5号(nwホワイト),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト50,,,,,,,,,0.0,shopify,deny,manual,1870,,true,true,,,1,,false,,,,,,,,,,,,,,,かさ高軽量紙,外寸：W126×D96×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2339,,,,,,,,,テスト100,,,,,,,,,0.0,shopify,deny,manual,2640,,true,true,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2339,,,,,,,,,テスト200,,,,,,,,,0.0,shopify,deny,manual,4620,,true,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2339,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2339,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2338,テスト【サンプル】菓子箱4号(ライトプルーフ),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト1,,,,,,,,,0.0,,deny,manual,55,,true,true,,,1,,false,,,,,,,,,,,,,,,ブラウンカード,外寸：W95×D90×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2337,テスト菓子箱4号(ライトプルーフ),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト50,,,,,,,,,0.0,shopify,deny,manual,1980,,true,true,,,1,,false,,,,,,,,,,,,,,,ブラウンカード,外寸：W95×D90×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2337,,,,,,,,,テスト100,,,,,,,,,0.0,shopify,deny,manual,2860,,true,true,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2337,,,,,,,,,テスト200,,,,,,,,,0.0,shopify,deny,manual,5060,,true,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2336,テスト【サンプル】菓子箱4号(nwホワイト),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト1,,,,,,,,,0.0,,deny,manual,55,,true,true,,,1,,false,,,,,,,,,,,,,,,かさ高軽量紙,外寸：W95×D90×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2336,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2336,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2336,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2336,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2335,テスト菓子箱4号(nwホワイト),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト50,,,,,,,,,0.0,shopify,deny,manual,1595,,true,true,,,1,,false,,,,,,,,,,,,,,,かさ高軽量紙,外寸：W95×D90×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2335,,,,,,,,,テスト100,,,,,,,,,0.0,shopify,deny,manual,2090,,true,true,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2335,,,,,,,,,テスト200,,,,,,,,,0.0,shopify,deny,manual,3520,,true,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2335,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2335,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2334,テスト【アーカイブ化テスト用】ケーキピック Y-黄金ツリー (コピー),,テストHacomarche,Home & Garden > Decor > Seasonal & Holiday Decorations > Holiday Ornament Displays & Stands,テストケーキピック,一般顧客,false,テスト入り数,テスト500,,,,,,,,,0.0,shopify,deny,manual,6600,6600,true,true,,,1,,false,,,,,,,,,,,,,,,ユポ紙＋PP加工,W30×H53mm,,'0,,,,,,,,,,kg,,,true,,,true,,,draft
test-2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2333,テストふじもとテスト用【サンプル】イーグリップ M ナチュラルグレー (コピー),,テストHacomarche,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,テスト紙袋,一般顧客,false,テスト入り数,テスト1,,,,,,,,,0.0,,deny,manual,55,55,true,true,,,1,,false,,,,,,,,,,,,,,,"材質:袋部分・・・晒クラフト80g/m2、補強フィルム:PP
表側:グレー印刷+マットニス",外寸:W180×D105×H225mm,,'0,,,,,,,,,,kg,,55,true,,,true,,,draft
test-2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2332,テストCake design-hane様　ｶｯﾌﾟｹｰｷﾎﾙﾀﾞｰ木型代,,テストHacomarche,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Bakeware,,,false,テスト入り数,テスト1,,,,,,,,,0.0,,deny,manual,25300,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2331,テストCake design-hane様　カップケーキホルダー,,テストHacomarche,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Cake Decorating Supplies,,,false,テスト入り数,テスト500,,,,,,,,,0.0,,deny,manual,35750,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2330,テスト【サンプル】イーグリップ M ナチュラルグレー,,テストHacomarche,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,テスト紙袋,一般顧客,true,テスト入り数,テスト1,,,,,,,,,0.0,shopify,continue,manual,55,55,true,true,,,1,,false,,,,,,,,,,,,,,,"材質:袋部分・・・晒クラフト80g/m2、補強フィルム:PP
表側:グレー印刷+マットニス",外寸:W180×D105×H225mm,,'0,,,,,,,,,,kg,,55,true,,,true,,,active
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,テスト【サンプル】イーグリップ S ナチュラルグレー,,テストHacomarche,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,テスト紙袋,一般顧客,true,テスト入り数,テスト1,,,,,,,,,0.0,shopify,continue,manual,55,55,true,true,,,1,,false,,,,,,,,,,,,,,,"材質:袋部分・・・晒クラフト80g/m2、補強フィルム:PP
表側:グレー印刷+マットニス",外寸:W160×D80×H195mm,,'0,,,,,,,,,,kg,,55,true,,,true,,,active
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2327,テストチーズサンドケーキ箱　木型代,,テストHacomarche,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Molds,,,false,テスト入り数,テスト1,,,,,,,,,0.0,,deny,manual,34100,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2326,テストチーズサンドケーキ箱,,テストHacomarche,Uncategorized,,,false,テスト入り数,テスト1000,,,,,,,,,0.0,,deny,manual,51150,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,false,,,active
test-daibiki-fee,テスト代引き手数料,,テストHacomarche,Business & Industrial > Advertising & Marketing,,,true,テスト購入金額,"テスト（合計¥10,000以下）",,,,,,,,,0.0,,deny,manual,330,,true,true,,,1,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-daibiki-fee,,,,,,,,,"テスト（合計¥30,000以下）",,,,,,,,,0.0,,deny,manual,440,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-daibiki-fee,,,,,,,,,"テスト（合計¥30,001以上）",,,,,,,,,0.0,,deny,manual,660,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2324,テストテスト2,,テストHacomarche,Home & Garden > Kitchen & Dining > Food Storage Accessories,テストケーキトレー,一般顧客,false,テスト入り数,テスト100,,,,,,,,,0.0,shopify,deny,manual,1650,2200,true,true,,,1,,false,,,,,,,,,,,,,,耐水・耐油性（耐熱なし）,アイボリー紙 / 金印刷 / PET,40×90×H20mm,,'0,,,,,,,,,,kg,,,true,,,true,,,draft
test-2324,,,,,,,,,テスト500,,,,,,,,,0.0,shopify,deny,manual,7150,8000,true,true,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2324,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
